family,species,standard_length,keel_length,ratio
Dorosomatidae,Amblygaster sp,119.4,62.11,0.520184255
Dorosomatidae,Anodontosoma chacunda,102.6,57.48,0.560233918
Dorosomatidae,Dorosoma cepedianum,78.04,37.21,0.476806766
Engraulidae,Thryssa spinidens,85.32,33.67,0.394631974
Dorosomatidae,Harengula jaguana,58.4,32.35,0.553938356
Dorosomatidae,Harengula jaguana,65.35,33.1,0.506503443
Dorosomatidae,Sardinella albella,87.93,50.8,0.577732287
Dorosomatidae,Sardinella lemuru,86.65,57.29,0.661165609
Engraulidae,Thryssa setirostris,84.1,34.99,0.416052319
Engraulidae,Stolephorus chinensis,63.93,11.34,0.177381511
Pristigasteridae,Opisthopterus tardoore,96.96,41.14,0.42429868
Engraulidae,Setipinna tenuifilis,92.26,32.57,0.353024062
Sternoptychidae,Sternoptychidae sp,28.59,11.17,0.390696048
Dorosomatidae,Tenualosa thibaudeaui,86.75,48.05,0.55389049
Engraulidae,Thryssa chefuensis,35.41,11.05,0.312058741
Engraulidae,Thryssa chefuensis,37.83,13.49,0.356595295
Dorosomatidae,Nematalosa come,60.72,32.31,0.532114625
Engraulidae,Stolephorus nelsoni,60.88,9.992,0.16412615
Serrasalmidae,Ossubtus xinguense,95.06,16.83,0.177046076
Serrasalmidae,Serrasalmus medinai,127.9,54.92,0.429397967
Serrasalmidae,Metynnis hypsauchen,63.42,30.23,0.476663513
Serrasalmidae,Myloplus rhomboidalis,56.48,28.87,0.511154391
Serrasalmidae,Pristobrycon calmoni,83.75,38.14,0.455402985
Serrasalmidae,Pygocentrus natterei,87.94,36.88,0.419376848
Serrasalmidae,Metynnis luna,69.58,34.19,0.491376832
Serrasalmidae,Serrasalmus eigenmanni,86.21,37.77,0.438116228
Serrasalmidae,Acnodon normani,61.31,10.26,0.167346273
